# {"t_start": 1545333012.1042702, "env_id": "MountainCar-v0"} 
r,l,t
-1.0,1,0.593607
-1.0,1,0.594541
-1.0,1,0.595197
-1.0,1,0.595844
-1.0,1,0.596539
-1.0,1,0.597395
-1.0,1,0.598119
-1.0,1,0.598877
-1.0,1,0.59958
-1.0,1,0.600168
-1.0,1,0.600834
-1.0,1,0.601481
-1.0,1,0.602131
-1.0,1,0.602775
-1.0,1,0.603411
-1.0,1,0.604018
-1.0,1,0.604652
-1.0,1,0.60529
-1.0,1,0.605931
-1.0,1,0.606533
-1.0,1,0.607134
-1.0,1,0.607742
-1.0,1,0.608343
-1.0,1,0.608947
-1.0,1,0.609554
-1.0,1,0.610155
-1.0,1,0.610751
-1.0,1,0.611352
-1.0,1,0.611948
-1.0,1,0.612579
-1.0,1,0.613206
-1.0,1,0.613834
-1.0,1,0.614435
-1.0,1,0.615034
-1.0,1,0.61563
-1.0,1,0.616234
-1.0,1,0.616816
-1.0,1,0.617392
-1.0,1,0.617971
-1.0,1,0.618486
-1.0,1,0.619004
-1.0,1,0.619521
-1.0,1,0.620031
-1.0,1,0.620604
-1.0,1,0.621147
-1.0,1,0.621658
-1.0,1,0.62217
-1.0,1,0.62268
-1.0,1,0.623216
-1.0,1,0.623727
-1.0,1,0.624238
-1.0,1,0.624756
-1.0,1,0.625296
-1.0,1,0.625804
-1.0,1,0.626313
-1.0,1,0.626828
-1.0,1,0.627342
-1.0,1,0.627852
-1.0,1,0.628364
-1.0,1,0.628876
-1.0,1,0.629391
-1.0,1,0.629902
-1.0,1,0.630413
-1.0,1,0.630973
-1.0,1,0.631627
-1.0,1,0.63225
-1.0,1,0.632823
-1.0,1,0.633516
-1.0,1,0.634231
-1.0,1,0.634815
-1.0,1,0.635417
-1.0,1,0.636039
-1.0,1,0.6367
-1.0,1,0.637429
-1.0,1,0.638152
-1.0,1,0.638904
-1.0,1,0.639648
-1.0,1,0.640185
-1.0,1,0.640817
-1.0,1,0.641502
-1.0,1,0.642176
-1.0,1,0.642911
-1.0,1,0.643551
-1.0,1,0.64415
-1.0,1,0.644777
-1.0,1,0.64542
-1.0,1,0.646055
-1.0,1,0.646681
-1.0,1,0.647268
-1.0,1,0.647908
-1.0,1,0.648556
