# {"t_start": 1545291074.94572, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.588349
-3.0,3,0.590102
-3.0,3,0.591853
-3.0,3,0.593673
-3.0,3,0.595579
-3.0,3,0.597247
-3.0,3,0.598707
-3.0,3,0.600575
-3.0,3,0.602232
-3.0,3,0.604419
-3.0,3,0.606028
-3.0,3,0.607808
-3.0,3,0.609442
-3.0,3,0.61128
-3.0,3,0.61321
-3.0,3,0.615003
-3.0,3,0.616868
-3.0,3,0.618722
-3.0,3,0.620763
-3.0,3,0.622393
-3.0,3,0.624091
-3.0,3,0.625735
-3.0,3,0.627352
-3.0,3,0.628879
-3.0,3,0.630574
-3.0,3,0.632378
-3.0,3,0.634176
-3.0,3,0.635902
-3.0,3,0.638142
-3.0,3,0.640063
-3.0,3,0.641825
-3.0,3,0.643549
-3.0,3,0.645222
-3.0,3,0.646823
-3.0,3,0.648427
-3.0,3,0.650121
-3.0,3,0.651738
-3.0,3,0.653833
-3.0,3,0.655505
-3.0,3,0.657107
-3.0,3,0.658813
-3.0,3,0.660614
-3.0,3,0.662248
-3.0,3,0.663838
-3.0,3,0.665392
-3.0,3,0.667131
-3.0,3,0.668823
-3.0,3,0.670859
-3.0,3,0.672469
-3.0,3,0.67418
-3.0,3,0.675792
-3.0,3,0.677449
-3.0,3,0.679219
-3.0,3,0.680797
-3.0,3,0.68237
-3.0,3,0.684072
-3.0,3,0.685664
-3.0,3,0.687245
-3.0,3,0.688863
-3.0,3,0.690479
-3.0,3,0.692014
-3.0,3,0.693527
-3.0,3,0.695064
-3.0,3,0.696594
-3.0,3,0.698134
-3.0,3,0.699676
-3.0,3,0.701156
-3.0,3,0.702696
-3.0,3,0.704226
-3.0,3,0.705752
-3.0,3,0.707277
-3.0,3,0.708815
-3.0,3,0.710344
-3.0,3,0.711877
-3.0,3,0.713417
-3.0,3,0.714949
-3.0,3,0.716546
-3.0,3,0.71919
-3.0,3,0.724944
-3.0,3,0.72704
-3.0,3,0.729104
-3.0,3,0.731154
-3.0,3,0.732854
-3.0,3,0.73454
-3.0,3,0.736631
-3.0,3,0.739163
-3.0,3,0.741036
-3.0,3,0.742895
-3.0,3,0.744648
-3.0,3,0.746259
-3.0,3,0.747874
-3.0,3,0.749494
-3.0,3,0.751255
-3.0,3,0.752844
-3.0,3,0.754478
-3.0,3,0.756145
-3.0,3,0.757831
-3.0,3,0.759425
-3.0,3,0.7612
-3.0,3,0.762801
-3.0,3,0.764232
-3.0,3,0.765697
-3.0,3,0.767126
-3.0,3,0.768581
-3.0,3,0.77002
-3.0,3,0.771451
-3.0,3,0.772892
-3.0,3,0.774336
-3.0,3,0.775891
-3.0,3,0.777332
-3.0,3,0.778835
-3.0,3,0.78037
-3.0,3,0.781846
-3.0,3,0.783344
-3.0,3,0.784808
-3.0,3,0.786287
-3.0,3,0.787798
-3.0,3,0.789226
-3.0,3,0.790675
-3.0,3,0.792222
-3.0,3,0.793789
-3.0,3,0.795384
-3.0,3,0.796945
-3.0,3,0.798504
-3.0,3,0.800067
-3.0,3,0.801629
-3.0,3,0.803187
-3.0,3,0.804838
-3.0,3,0.806545
-3.0,3,0.808175
-3.0,3,0.809749
-3.0,3,0.811311
-3.0,3,0.812899
-3.0,3,0.814568
-3.0,3,0.816252
-3.0,3,0.817916
-3.0,3,0.819577
-3.0,3,0.821229
-3.0,3,0.82288
-3.0,3,0.824621
-3.0,3,0.826383
-3.0,3,0.828122
-3.0,3,0.829869
-3.0,3,0.831591
-3.0,3,0.833328
-3.0,3,0.835128
-3.0,3,0.836967
-3.0,3,0.838937
-3.0,3,0.840981
-3.0,3,0.842821
-3.0,3,0.844806
-3.0,3,0.846798
-3.0,3,0.848812
-3.0,3,0.850852
-3.0,3,0.852681
-3.0,3,0.854522
-3.0,3,0.856524
-3.0,3,0.858459
-3.0,3,0.860507
-3.0,3,0.86252
-3.0,3,0.86457
-3.0,3,0.866534
-3.0,3,0.868371
