# {"t_start": 1545323757.01304, "env_id": "MountainCar-v0"} 
r,l,t
-3.0,3,0.601928
-3.0,3,0.604056
-3.0,3,0.605788
-3.0,3,0.607703
-3.0,3,0.609784
-3.0,3,0.61183
-3.0,3,0.613675
-3.0,3,0.615791
-3.0,3,0.617619
-3.0,3,0.619209
-3.0,3,0.620836
-3.0,3,0.62279
-3.0,3,0.624409
-3.0,3,0.626091
-3.0,3,0.627656
-3.0,3,0.629224
-3.0,3,0.630713
-3.0,3,0.632278
-3.0,3,0.633949
-3.0,3,0.635568
-3.0,3,0.637196
-3.0,3,0.638774
-3.0,3,0.640434
-3.0,3,0.642093
-3.0,3,0.643757
-3.0,3,0.645352
-3.0,3,0.647013
-3.0,3,0.648645
-3.0,3,0.650212
-3.0,3,0.651902
-3.0,3,0.653595
-3.0,3,0.655243
-3.0,3,0.656858
-3.0,3,0.658417
-3.0,3,0.660009
-3.0,3,0.661827
-3.0,3,0.663738
-3.0,3,0.665669
-3.0,3,0.667423
-3.0,3,0.669475
-3.0,3,0.671409
-3.0,3,0.673399
-3.0,3,0.675326
-3.0,3,0.677019
-3.0,3,0.678779
-3.0,3,0.680454
-3.0,3,0.682029
-3.0,3,0.68364
-3.0,3,0.685221
-3.0,3,0.686934
-3.0,3,0.688524
-3.0,3,0.690233
-3.0,3,0.691953
-3.0,3,0.694097
-3.0,3,0.69732
-3.0,3,0.699528
-3.0,3,0.701629
-3.0,3,0.703585
-3.0,3,0.705485
-3.0,3,0.707494
-3.0,3,0.709707
-3.0,3,0.711858
-3.0,3,0.713933
-3.0,3,0.715997
-3.0,3,0.718315
-3.0,3,0.720248
-3.0,3,0.722397
-3.0,3,0.724421
-3.0,3,0.726557
-3.0,3,0.728545
-3.0,3,0.730625
-3.0,3,0.732747
-3.0,3,0.73497
-3.0,3,0.737106
-3.0,3,0.739108
-3.0,3,0.741091
-3.0,3,0.743259
-3.0,3,0.745302
-3.0,3,0.747497
-3.0,3,0.749709
-3.0,3,0.751781
-3.0,3,0.75394
-3.0,3,0.75592
-3.0,3,0.758084
-3.0,3,0.760198
-3.0,3,0.762299
-3.0,3,0.764272
-3.0,3,0.766425
