# {"t_start": 1545333392.7211132, "env_id": "MountainCar-v0"} 
r,l,t
-1.0,1,0.594252
-1.0,1,0.595054
-1.0,1,0.595713
-1.0,1,0.596545
-1.0,1,0.597282
-1.0,1,0.597953
-1.0,1,0.598556
-1.0,1,0.599131
-1.0,1,0.599726
-1.0,1,0.60029
-1.0,1,0.60094
-1.0,1,0.601578
-1.0,1,0.602159
-1.0,1,0.602731
-1.0,1,0.603375
-1.0,1,0.603966
-1.0,1,0.604546
-1.0,1,0.605192
-1.0,1,0.605848
-1.0,1,0.606421
-1.0,1,0.606996
-1.0,1,0.607612
-1.0,1,0.608219
-1.0,1,0.608835
-1.0,1,0.609453
-1.0,1,0.610063
-1.0,1,0.6106
-1.0,1,0.611268
-1.0,1,0.611854
-1.0,1,0.612405
-1.0,1,0.613049
-1.0,1,0.613623
-1.0,1,0.614221
-1.0,1,0.614789
-1.0,1,0.615366
-1.0,1,0.615879
-1.0,1,0.616498
-1.0,1,0.617164
-1.0,1,0.617753
-1.0,1,0.618415
-1.0,1,0.619028
-1.0,1,0.619611
-1.0,1,0.620245
-1.0,1,0.620823
-1.0,1,0.621392
-1.0,1,0.622034
-1.0,1,0.622674
-1.0,1,0.623244
-1.0,1,0.623878
-1.0,1,0.624521
-1.0,1,0.625156
-1.0,1,0.625794
-1.0,1,0.626443
-1.0,1,0.627086
-1.0,1,0.627667
-1.0,1,0.628322
-1.0,1,0.628969
-1.0,1,0.629538
-1.0,1,0.630126
-1.0,1,0.6307
-1.0,1,0.631321
-1.0,1,0.631926
-1.0,1,0.632546
-1.0,1,0.633252
-1.0,1,0.63388
-1.0,1,0.634454
-1.0,1,0.635091
-1.0,1,0.635723
-1.0,1,0.636371
-1.0,1,0.636993
-1.0,1,0.637558
-1.0,1,0.638191
-1.0,1,0.638884
-1.0,1,0.639523
-1.0,1,0.640188
-1.0,1,0.640795
-1.0,1,0.641436
-1.0,1,0.642104
-1.0,1,0.642771
-1.0,1,0.643438
-1.0,1,0.644032
-1.0,1,0.644588
-1.0,1,0.645101
-1.0,1,0.645669
-1.0,1,0.646234
-1.0,1,0.646765
-1.0,1,0.647329
-1.0,1,0.647891
-1.0,1,0.648463
-1.0,1,0.649031
-1.0,1,0.649594
-1.0,1,0.650093
-1.0,1,0.650591
-1.0,1,0.651088
-1.0,1,0.651587
-1.0,1,0.652085
-1.0,1,0.652655
-1.0,1,0.65322
-1.0,1,0.653718
-1.0,1,0.654293
-1.0,1,0.654819
-1.0,1,0.655379
-1.0,1,0.65594
-1.0,1,0.656439
-1.0,1,0.656937
-1.0,1,0.657442
-1.0,1,0.657941
-1.0,1,0.65845
-1.0,1,0.65895
-1.0,1,0.659446
-1.0,1,0.659949
-1.0,1,0.660455
-1.0,1,0.660962
-1.0,1,0.661468
-1.0,1,0.661966
-1.0,1,0.662467
-1.0,1,0.662966
-1.0,1,0.663531
-1.0,1,0.664054
-1.0,1,0.664624
-1.0,1,0.665189
-1.0,1,0.665693
-1.0,1,0.666191
-1.0,1,0.666695
-1.0,1,0.667196
-1.0,1,0.667694
-1.0,1,0.668196
-1.0,1,0.668705
-1.0,1,0.669208
-1.0,1,0.66977
-1.0,1,0.6703
-1.0,1,0.670801
-1.0,1,0.671304
-1.0,1,0.671809
-1.0,1,0.67231
-1.0,1,0.672813
-1.0,1,0.673321
-1.0,1,0.67382
-1.0,1,0.674321
-1.0,1,0.674824
-1.0,1,0.675325
-1.0,1,0.675825
-1.0,1,0.676324
-1.0,1,0.676825
-1.0,1,0.677324
-1.0,1,0.677826
-1.0,1,0.678329
-1.0,1,0.67883
-1.0,1,0.679332
-1.0,1,0.679836
-1.0,1,0.680359
-1.0,1,0.680858
-1.0,1,0.681357
-1.0,1,0.681857
-1.0,1,0.682355
-1.0,1,0.682867
-1.0,1,0.68337
-1.0,1,0.68387
-1.0,1,0.684374
-1.0,1,0.684875
-1.0,1,0.685373
-1.0,1,0.685875
-1.0,1,0.686382
-1.0,1,0.686883
-1.0,1,0.687383
-1.0,1,0.687884
-1.0,1,0.688388
-1.0,1,0.688904
-1.0,1,0.689405
-1.0,1,0.689916
-1.0,1,0.690414
-1.0,1,0.690918
-1.0,1,0.691416
-1.0,1,0.691914
-1.0,1,0.692419
-1.0,1,0.692918
-1.0,1,0.693417
-1.0,1,0.693915
-1.0,1,0.694415
-1.0,1,0.694927
-1.0,1,0.695439
-1.0,1,0.695946
-1.0,1,0.696483
-1.0,1,0.69699
-1.0,1,0.697492
-1.0,1,0.698058
-1.0,1,0.698563
-1.0,1,0.699064
-1.0,1,0.699633
-1.0,1,0.700195
-1.0,1,0.700697
-1.0,1,0.701194
-1.0,1,0.701699
-1.0,1,0.702205
-1.0,1,0.702704
-1.0,1,0.703207
-1.0,1,0.703711
-1.0,1,0.70422
-1.0,1,0.704723
-1.0,1,0.705221
-1.0,1,0.705723
-1.0,1,0.706227
-1.0,1,0.706798
-1.0,1,0.707366
-1.0,1,0.707873
-1.0,1,0.708382
-1.0,1,0.708945
-1.0,1,0.709511
-1.0,1,0.710078
-1.0,1,0.710583
-1.0,1,0.711091
-1.0,1,0.711597
-1.0,1,0.712161
-1.0,1,0.712675
-1.0,1,0.713181
-1.0,1,0.713682
-1.0,1,0.714183
-1.0,1,0.714748
-1.0,1,0.71531
-1.0,1,0.715816
-1.0,1,0.71631
-1.0,1,0.716878
-1.0,1,0.717446
-1.0,1,0.717951
-1.0,1,0.718454
-1.0,1,0.71895
-1.0,1,0.719447
-1.0,1,0.720012
-1.0,1,0.720534
-1.0,1,0.721103
-1.0,1,0.721672
-1.0,1,0.722175
-1.0,1,0.722689
-1.0,1,0.723204
-1.0,1,0.723778
-1.0,1,0.724342
-1.0,1,0.724908
-1.0,1,0.725475
-1.0,1,0.725983
-1.0,1,0.726553
-1.0,1,0.727059
-1.0,1,0.727562
-1.0,1,0.728065
